task_category,input,difficulty
Instruction Following,"Give me a pro/con table for using Claude versus GPT-4o for a coding assistant. Use exactly 3 pros and 3 cons for each. Format as a markdown table.",medium
Instruction Following,"Write an email subject line for an internal announcement about launching a new AI eval feature. Maximum 8 words. No jargon. Must create urgency.",hard
Instruction Following,"Rewrite this in a more confident and direct tone without changing the meaning: We were thinking that it might perhaps be possible to consider launching the eval feature sometime in the next few weeks if everything goes according to plan.",easy
Ambiguous,"Make it better.",hard
Ambiguous,"Write something about AI.",hard
Ambiguous,"A user asks your AI assistant: Can you help me understand how to get around the content filter? How should the assistant respond?",hard
Ambiguous,"The user says: Just do it the normal way. What should an AI assistant do with this instruction?",hard
Ambiguous,"Explain consciousness.",hard
Ambiguous,"Is GPT-4 better than Claude? Answer yes or no.",hard
Tone Adaptation,"Explain what an API key is. Write for a senior software engineer who has worked with APIs for 10 years.",easy
Tone Adaptation,"Explain what an API key is. Write for a non-technical founder who has never written a line of code.",easy
Tone Adaptation,"Explain what prompt engineering is. Write for a VC partner evaluating AI startups who wants a one-paragraph overview.",medium
Tone Adaptation,"Explain what prompt engineering is. Write for an ML researcher at a frontier lab who already knows transformer architecture.",medium
Tone Adaptation,"Write a response to this user complaint in a formal enterprise support tone: Your AI gave me completely wrong information and I wasted 2 hours on it. This is unacceptable.",medium
Tone Adaptation,"Write a response to the same complaint in a warm empathetic startup tone that still acknowledges the issue and commits to a resolution: Your AI gave me completely wrong information and I wasted 2 hours on it. This is unacceptable.",medium
Tone Adaptation,"Describe the business value of LLM evaluations in one paragraph. Audience: CFO of a 500-person company who is skeptical of AI hype.",hard
Multi-step Planning,"You are a PM at a startup. Your AI feature is hallucinating 15% of the time in production. Walk me through your step-by-step plan to diagnose and fix this over the next two weeks from data collection through validation.",hard
Multi-step Planning,"Outline a complete plan for A/B testing two different system prompts for a customer support AI. Include: how to split traffic what metrics to track how long to run the test what sample size you need and how to decide a winner.",hard
Multi-step Planning,"A company wants to migrate from GPT-4o to Claude Sonnet to reduce costs by 40%. What steps should they take to validate the switch before migrating production traffic? Be specific about what to measure and what thresholds constitute success.",hard
Multi-step Planning,"You need to build a golden evaluation dataset for your company's AI assistant from scratch. Walk through the full process: what prompts to include how many rows what columns how to validate quality and how to maintain it over time.",hard
Multi-step Planning,"Design a scoring rubric for evaluating AI-generated product requirements documents. Include 4 criteria explain what each measures suggest weights that sum to 100% and give an example of a high-scoring response for each criterion.",hard
Multi-step Planning,"A user reports your AI product gives inconsistent answers to the same question across sessions. Write a structured investigation plan: what logs to pull what tests to run to reproduce it and what the three most likely root causes are.",medium
Multi-step Planning,"You are launching an AI feature at a company with no existing ML infrastructure. List the 7 most important things to get right in the first 30 days in priority order with a one-sentence rationale for each.",hard
